회사명,상장일,시장,산업분류,AI분류,구태그,평가방법,적용멀티플,분류근거,주요제품
씨이랩,2021-02-24,코스닥,IT/소프트웨어,순수AI,Y,PER,20.98,"[에이전트 판정(투설 원문 스니펫)|high] AI 기술용역·GPU인프라·영상분석(x-AIVA)이 매출 추정 항목 자체. AI를 파는 회사. | 근거: ""3) AI 기술용역... [AI 기술용역 매출 추정]"" / ""AI GPU인프라 서비스(계속) 765 1,350""",빅데이터플랫폼
유일에너테크,2021-02-25,코스닥,기계/장비,비AI,,PER,27.72,"[에이전트 판정(투설 원문 스니펫)|high] 유일한 인공지능 언급이 비교기업(로보티즈) 사업 설명. 2차전지 제조장비는 AI 무관. | 근거: ""로보티즈 인공지능교육 및 창의력 개발도구 36.83%... 제외""",2차전지 제조장비
뷰노,2021-02-26,코스닥,바이오/헬스케어,순수AI,Y,PER,38.5,"[에이전트 판정 + 총괄 보정|high] 의료 AI 진단 SW(뷰노메드) 판매가 본업 — 제품=AI SW (경계 일관성 보정) | 근거: ""VUNO Med - LungCT AI 2 인공지능 기반 CT영상 폐결절 검출 보조 솔루션"" / ""인공지능 기반 치매진단 보조 솔루션 2020-12-29 VUNO Med - Fundus AI""","뷰노메드 음성솔루션, 뷰노메드 영상솔루션, 기타 솔루션 등"
나노씨엠에스,2021-03-09,코스닥,화학/소재,비AI,,PER,20.44,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"근적외선 흡수/반사 안료, 자외선 유기형광 안료, 적외선 발광체"
프레스티지바이오로직스,2021-03-11,코스닥,바이오/헬스케어,비AI,,PER,40.4,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,바이오시밀러 제조
싸이버원,2021-03-11,코스닥,IT/소프트웨어,AI관련,,PER,30.4,"[에이전트 판정(투설 원문 스니펫)|low] 자체 개발 보안관제시스템에 AI 이상징후 탐지가 핵심 기능으로 탑재. 다만 본업이 관제 서비스(인력 기반)라 AI 비중 애매 | 근거: ""자체 기술력으로 개발한 지능형 보안관제시스템으로... 빅데이터 처리와 인공지능(AI)기반의 이상징후 탐지 기술을 탑재""",보안관제  및 보안컨설팅 등
네오이뮨텍,2021-03-16,코스닥,바이오/헬스케어,비AI,,PER,29.3,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,면역항암제
바이오다인,2021-03-17,코스닥,바이오/헬스케어,비AI,,PER,22.76,"[에이전트 판정(투설 원문 스니펫)|high] 주력 액상세포검사 장비는 비AI. AI 진단(DNN)은 향후 사업계획·베타 개발 단계에 그침. | 근거: ""동사가 개발 중인 DNN 세포 이상 여부 AI 진단 시스템은"" / ""특허 등록 후 현재 테스트용 베타버전을 개발한 단계""",액상세포검사 장비 및 소모품
SK바이오사이언스,2021-03-18,유가증권,바이오/헬스케어,비AI,,EV/Capacity,2.644,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 계열회사 명단의 사명(AI ALLIANCE)뿐. 백신 사업과 AI 무관. | 근거: ""291 AI ALLIANCE, LLC 292 Atlas Investment Ltd.""",백신 제품 및 제제
라이프시맨틱스,2021-03-23,코스닥,IT/소프트웨어,AI관련,Y,PER,32.23,"[에이전트 판정(투설 원문 스니펫)|high] H.AI 솔루션 매출 계상, LR AI Store·의료AI SW·딥러닝 암재발예측 특허 등 자체 AI가 제품 핵심 기능. 주력이 PHR 플랫폼이라 pure까지는 아님. | 근거: 지능형 건강관리 서비스에 필요한 인공지능 알고리즘을 서비스 형태로 활용할 수 있는 LR AI Store / 의료AI 소프트웨어 개발, 서비스 제공","소프트웨어(개인건강기록 플랫폼,진료기록번역플랫폼,질병분류기호 검색) 개발,공급/의료기기 도매/자문,컨설팅/전자상거래,통신판매"
자이언트스텝,2021-03-24,코스닥,엔터/미디어/게임,AI관련,Y,PER,29.55,"[에이전트 판정(투설 원문 스니펫)|high] 주력인 리얼타임 버추얼휴먼 콘텐츠의 핵심 구현 원리가 자체 AI 얼굴애니메이션 기술. | 근거: ""버추얼캐릭터 구현을 위한 독보적 AI프로그램 특허 기술력을 보유"" / ""AI 기반의 사실적인 얼굴 애니메이션 구현 기술""","광고VFX, 영상VFX 및 리얼타임 콘텐츠 제작"
제노코,2021-03-24,코스닥,방산/우주항공,비AI,,PER,30.7,"[에이전트 판정(투설 원문 스니펫)|high] 유일한 AI 언급이 타사(인포마크) 사업 설명. 위성/항공전자 제품은 AI 무관. | 근거: ""(주)인포마크 AI스피커 등 스마트 디바이스 사업 X""","위성탑재체, 위성운용국, 항공전자 등"
엔시스,2021-04-01,코스닥,2차전지/에너지,비AI,,PER,30.9,"[에이전트 판정(투설 원문 스니펫)|high] 유일한 스니펫이 비교기업(로보티즈) 매출구성 인용. 자사 머신비전 장비의 AI 근거 없음. | 근거: ""로보티즈 엑츄에이터 부품과 지능형 소프트웨어 (38.26), 인공지능교육 및 창의력 개발도구 (30.64)""",2차전지 머신비전 검사장비
해성티피씨,2021-04-21,코스닥,화학/소재,비AI,,PER,32.71,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급 1건이 일본 정부정책 인용뿐. 기어/동력전달장치 제품과 무관 | 근거: ""'제4차 산업 혁명'의 본격 추진에 중점 - IoT와 AI를 활용한 정책으로""",기어 및 동력전달장치
이삭엔지니어링,2021-04-21,코스닥,IT/소프트웨어,비AI,,PER,25.07,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 전부 향후 R&D 과제 계획과 스마트팩토리 산업 고도화 전망. 현 제품(설비제어)은 AI 없이 성립. | 근거: ""AI활용을 위한 Motor Diagnositc 솔루션 개발 470 2021년~2022년"" / ""빅데이터, AI 등 최종적으로는 높은 수준의 IT기술력을 요구하게 될 것""",공장자동화 설비제어
쿠콘,2021-04-28,코스닥,IT/소프트웨어,비AI,,PER,24.18,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 향후 투자계획, 용어 정의, 비교기업 나열에 그침. 페이먼트/데이터 API 서비스는 AI 없이 성립. | 근거: ""금융상품 빅데이터 구축, AI기반 추천 알고리즘 등 마이데이터 플랫폼 구축을 위해 투자할 계획""","페이먼트서비스(65.2%), 데이터서비스(29.1%) 등"
SK아이이테크놀로지,2021-05-11,유가증권,2차전지/에너지,비AI,,EV/EBITDA,48.1,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급은 계열사 명단의 사명(AI ALLIANCE)뿐. 분리막 제품과 무관. | 근거: 287 AI ALLIANCE, LLC 288 Atlas Investment Ltd.",2차전지용 습식 분리막 및 폴더블 커버 윈도우
에이치피오,2021-05-14,코스닥,소비재/유통,비AI,,PER,31.89,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"건강기능식품(유산균, 비타민 등)"
씨앤씨인터내셔널,2021-05-17,코스닥,화학/소재,비AI,,PER,30.7,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,색조 화장품
샘씨엔에스,2021-05-20,코스닥,반도체/디스플레이,비AI,,PER,26.48,"[에이전트 판정(투설 원문 스니펫)|high] 세라믹 기판 소재사. AI 언급은 전방 반도체 시장 전망에 국한. | 근거: ""비메모리 시장도 5G, AI, 자동차의 전장화 등의 신규 응용처를 중심으로 시장이 성장할 것으로 전망""",세라믹 STF(다층 세라믹 기판)
삼영에스앤씨,2021-05-21,코스닥,기계/장비,비AI,,PER,21.1,"[에이전트 판정(투설 원문 스니펫)|high] AI는 전방 수요 전망과 향후 개발 중인 부가 솔루션에 그침. 센서 제품 자체는 AI 없이 성립. | 근거: ""AI 산업을 기반으로 한 양질의 데이터 수요 또한 센서 시장의 성장을 촉진"" / ""생물입자 경고기능을 위한 AI 솔루션 개발 중""","칩형 온습도센서, 상대습도센서, 미세먼지센서, 공기질 통합센서 노드 및 트랜스미터"
제주맥주,2021-05-26,코스닥,소비재/유통,비AI,,EV/EBITDA,4.0,"[에이전트 판정(투설 원문 스니펫)|high] LLM은 법학석사 학위 표기로 키워드 오탐. AI 관련성 전무. | 근거: ""University of Southern California Gould School of Law졸업(LLM.)""",맥주
진시스템,2021-05-26,코스닥,바이오/헬스케어,비AI,,PER,28.73,"[에이전트 판정(투설 원문 스니펫)|high] AI는 조류인플루엔자(Avian Influenza) 진단품목 약어로 키워드 오탐. 딥러닝은 외부자료 인용 | 근거: ""분자진단 제품 COVID-19, AI, VRE, STI 등""",분자진단기반 플랫폼 개발 및 제조·판매
에이디엠코리아,2021-06-03,코스닥,바이오/헬스케어,비AI,,PER,33.08,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급 전부가 CRO 산업 동향·타사 적용 사례 인용. 자사 서비스의 AI 구현 근거 없음. | 근거: ""임상시험 절차를 효율화하기 위해 인공지능 기술이 적용되고 있는 것이 큰 특징"" / ""출처: 임상시험 효율화를 위한 인공지능 기술의 적용, 2017, Bric View""",임상 CRO 서비스
엘비루셈,2021-06-11,코스닥,반도체/디스플레이,비AI,,PER,21.41,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 정부 정책·산업 동향뿐. Driver IC는 AI 연산 전용 설계 아님. | 근거: ""센서부터 AI반도체까지 전주기적 시스템반도체 개발"" (정부 정책) / ""멀티미디어, 네트워크, AI, 자동화 사회로 급격히 변화하면서""",디스플레이 구동 반도체(Driver IC)
이노뎁,2021-06-18,코스닥,IT/소프트웨어,AI관련,,PER,30.0,[에이전트 판정(투설 원문 스니펫)|high] 자체 영상인식 AI(IOD/IDL)가 주력 솔루션의 동작 원리. 영상 플랫폼(VMS) 매출이 큰 축이라 pure 대신 ai. | 근거: 동적 사물을 인식하는 자사만의 영상인식AI(인공지능) 기술인 IOD 및 IDL / 당사가 영위하는 영상인식 AI 산업,영상인식 및 데이터플랫폼 솔루션
아모센스,2021-06-25,코스닥,IT/소프트웨어,비AI,,PER,18.26,"[에이전트 판정(투설 원문 스니펫)|low] 주력은 무선충전 차폐시트. AI 음성인식 모듈은 개발 중인 부수 사업부문이라 부가적으로 판단. | 근거: ""당사는 AI 기술을 응용하여 비대면 화상회의, 원격교육 등에 필요한 음성인식 모듈을 개발하고 있으며""",무선충전 차폐시트
오비고,2021-07-13,코스닥,IT/소프트웨어,비AI,,PER,26.13,"[에이전트 판정(투설 원문 스니펫)|low] 자체 AI 엔진이 아니라 타사 AI(VPA)를 차량에 통합하는 프레임워크. 주력 스마트카 SW 플랫폼은 AI 없이 성립하나 AI 프레임워크 제품화가 있어 경계선. | 근거: ""다양한 VPA를 단말에 탑재할 수 있는 AI 프레임워크 기술을 보유"" / ""AI 엔진이 교체되더라도 개발자나 사용자에게 일관성""",스마트카 소프트웨어 플랫폼
에스디바이오센서,2021-07-16,유가증권,바이오/헬스케어,비AI,,PER,14.64,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,STANDARD Q 항원/항체 진단키트(COVID-19 진단키트)
큐라클,2021-07-22,코스닥,바이오/헬스케어,비AI,,PER,28.85,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 인용 자료 출처명에 불과. 혈관질환치료제 개발에 AI 서술 없음. | 근거: ""자료: 보건복지부, 2018. 5. \""인공지능 신약개발 플랫폼 구축사업 설명자료\""""",혈관질환치료제 등
맥스트,2021-07-27,코스닥,IT/소프트웨어,AI관련,Y,PER,26.1,"[에이전트 판정(투설 원문 스니펫)|low] 주력 VPS 제품에 자사 AI(Semantic) 기술 결합. 다만 본류는 AR 플랫폼이고 AI는 구성 기술이라 low | 근거: ""2020년부터는 AR 기술에 AI 기술을 결합하여 현실세계 기반 메타버스를 구현할 수 있는 VPS"" / ""당사의 AI 기술(Semantic)을 활용하여""",AR 개발 플랫폼/AR솔루션
에브리봇,2021-07-28,코스닥,소비재/유통,AI관련,,PER,22.1,"[에이전트 판정(투설 원문 스니펫)|low] 자율주행·AI가 로봇청소기의 핵심 기능·핵심경쟁력으로 서술. 다만 AI 분야 투자는 향후 계획 중심이고 기술 구체성이 낮아 low. | 근거: ""당사는 자율 주행기술 및 인공지능을 이용한 로봇청소기 개발 제조 전문 기업으로... 핵심경쟁력으로 작용""","물걸레 로봇청소기, 흡입형 로봇청소기"
카카오뱅크,2021-08-06,유가증권,금융,비AI,,PBR,7.3,"[에이전트 판정(투설 원문 스니펫)|high] 본업은 은행업으로 AI 없이 성립. 챗봇(카카오 i 기반)·저금통 자동모으기·FDS 고도화는 부가 기능이자 일부 타사 플랫폼 도입. | 근거: ""카카오의 AI 설계플랫폼인 카카오 i 오픈빌더를 기반으로 카카오뱅크 챗봇 개발"" / ""저금통에 연결된 입출금 통장의... 패턴을 AI 알고리즘으로 분석""",은행 및 금융서비스
HK이노엔,2021-08-09,코스닥,바이오/헬스케어,비AI,,EV/EBITDA,21.01,[에이전트 판정(투설 원문 스니펫)|high] AI 언급은 연구인력 이력(타사 경력) 1건뿐. 의약품 제품은 비AI. | 근거: ㈜씨앤드씨신약연구소 - 분자모델링을 통한 AI 프로그램 개발,"전문의약품, 숙취해소음료"
크래프톤,2021-08-10,유가증권,엔터/미디어/게임,비AI,,EV/EBITDA,2.0,"[에이전트 판정(투설 원문 스니펫)|high] 게임이 주력. AI는 미래기술 투자계획·핵감지 등 부가 기능 수준. | 근거: ""AI, 딥러닝 등 미래 기술에 대한 선제적 투자를 통해 장기적인 기술 및 개발 경쟁력을 확보""",<배틀그라운드> 등 게임 소프트웨어
원티드랩,2021-08-11,코스닥,IT/소프트웨어,AI관련,Y,PER,30.39,"[에이전트 판정(투설 원문 스니펫)|high] AI 추천·매칭이 주력 서비스의 핵심 동작 원리로 일관되게 서술. 매출원은 채용 플랫폼이므로 pure 아님. | 근거: ""주요 사업인 인공지능(AI)추천 기반 채용 서비스"" / ""AI 채용 매칭 플랫폼은 AI 및 빅데이터 관련 기술이 사업 영위에 핵심 요소""",채용 플랫폼
플래티어,2021-08-12,코스닥,IT/소프트웨어,AI관련,,PER,37.1,"[에이전트 판정(투설 원문 스니펫)|low] 자사 솔루션 Groobee의 핵심이 AI 추천·매칭. 다만 스니펫 다수가 신규사업 확대·자금계획 서술이라 low. | 근거: ""신규로 추진중인 AI 기반 빅데이터 분석 마테크 솔루션인 Groobee의 기능 고도화"" / ""Groobee는 지속적으로 AI의 Machine Learning 기능개선을 위해 투자를 지속""",E-Commerce Platform 구축
엠로,2021-08-13,코스닥,IT/소프트웨어,AI관련,,PER,29.38,"[에이전트 판정(투설 원문 스니펫)|high] SCM SW에 자체 AI 솔루션(자연어처리·수요예측·OCR)이 제품 라인업으로 판매됨. AI사업본부·특허 보유 | 근거: ""AI 기반 신기술 솔루션 개발 (SMARTitemdoctor, SMARTspend auto analyzer)"" / ""AI 기반 수요예측 솔루션 개발(SMART i-MAES)""","SCM구축 및 용역, 라이선스, 기술료, 클라우드사용료"
딥노이드,2021-08-17,코스닥,IT/소프트웨어,순수AI,Y,PER,27.52,"[에이전트 판정(투설 원문 스니펫)|high] 의료 AI 플랫폼·솔루션 자체가 주력 제품이자 매출원인 'AI를 파는 회사'. | 근거: ""주요 제품인 DEEP:PHI, DEEP:STORE, DEEP:AI, DEEP:PACS"" / ""의료 인공지능 솔루션 DEEP:AI의 판매 및 수익화에 집중할 계획""","의료 인공지능플랫폼, 인공지능 임상의사결정 시스템"
한컴라이프케어,2021-08-17,유가증권,바이오/헬스케어,비AI,,PER,27.63,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 임원 겸직 회사명(Accufly AI)뿐. 공기호흡기·방독면 사업과 AI 무관. | 근거: ""Accufly AI 사내이사 2019년 05월 2년 경영총괄""","공기호흡기, 방독면, 보호복 등"
브레인즈컴퍼니,2021-08-19,코스닥,IT/소프트웨어,비AI,,PER,27.1,[에이전트 판정(투설 원문 스니펫)|low] Zenius에 AI 예측 기능(DAGMM 탑재) 존재하나 핵심 가치제안은 IT 인프라 모니터링이며 AI는 부가·고도화 기능. 경계 사례. | 근거: AI 및 빅데이터 기술 적용을 통해 IT 인프라에 대한 사전적 미래 예측 및 다양한 운영 편의 기능을 지원하는 기술개발을 지속,IT 인프라 통합관리 솔루션
롯데렌탈,2021-08-19,유가증권,기타,비AI,,PER,5.6,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)"
아주스틸,2021-08-20,유가증권,화학/소재,비AI,,PER,21.8,"[에이전트 판정(투설 원문 스니펫)|high] 컬러강판 제조사. AI는 자사 공장 품질검사 공정 도입(내부 활용)일 뿐 제품이 아님. | 근거: ""품질 관리를 더욱 고도화하기 위해 2020년 7월 이후 AI기반 딥러닝 비전검사 공정을 도입""","프리미엄 가전용 고품질 컬러강판, 건자재  등"
바이젠셀,2021-08-25,코스닥,바이오/헬스케어,비AI,,PER,37.25,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"면역세포치료제 (면역항암제, 면역조절치료제 등)"
일진하이솔루스,2021-09-01,유가증권,2차전지/에너지,비AI,,EV/EBITDA,37.2,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"수소승용용기, 매연저감장치 등"
에이비온,2021-09-08,코스닥,바이오/헬스케어,비AI,,PER,28.6,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"표적 항암제, 바이오 베터 신약"
와이엠텍,2021-09-10,코스닥,자동차/모빌리티,비AI,,PER,25.96,"[에이전트 판정(투설 원문 스니펫)|high] 유일한 언급이 비교기업(로보티즈) 설명. EV Relay 제품은 AI 무관. | 근거: ""로보티즈 엑츄에이터 부품과 지능형 소프트웨어(39), 인공지능교육 및 창의력 개발도구(29)... X""",계전기(EV Relay)
현대중공업,2021-09-17,유가증권,기타,비AI,,PBR,1.12,"[에이전트 판정(투설 원문 스니펫)|high] AI는 향후 개발 계획·미래 전략 수준. 조선·엔진 제품은 AI 없이 성립. | 근거: ""AI 기반 스마트십/자율운항, 전기추진 솔루션 개발 통한 미래 시장 선점"" / ""향후 스마트 팩토리 인공지능(AI) 관제 시스템 개발...신규투자 등을 통해""","선박, 해양플랜트 및 엔진기계 등"
바이오플러스,2021-09-27,코스닥,바이오/헬스케어,비AI,,PER,37.27,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급은 타사 협력 개발중인 향후 계획 1건. 주력 필러 제품은 AI 무관 | 근거: ""국내 장비회사와 함께 개발중인 AI기반 피부진단기기와 Air Injector 장비들도 출시하여... 공급할 계획""","생체재료 개질 기술을 사용한 히알루론산(HA) 기반 더말필러, 유착방지제 및 그 응용제품"
프롬바이오,2021-09-28,코스닥,소비재/유통,비AI,,PER,17.02,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,개별인정형 건강기능식품
실리콘투,2021-09-29,코스닥,소비재/유통,비AI,,PER,44.71,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,화장품 유통
에스앤디,2021-09-29,코스닥,소비재/유통,비AI,,PER,21.7,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"일반기능식품소재, 건강기능식품소재"
아스플로,2021-10-07,코스닥,기계/장비,비AI,,PER,21.11,"[에이전트 판정(투설 원문 스니펫)|high] 반도체 공정부품(강관·피팅) 공급사. AI는 전방산업 수요 전망 서술에 그침. | 근거: ""AI 및 4차 산업혁명, 자율주행 자동차 등 반도체를 사용하는 시장이 확대됨에 따라""","강관, 피팅, 밸브류 등"
원준,2021-10-07,코스닥,기계/장비,비AI,,PER,20.89,"[에이전트 판정(투설 원문 스니펫)|high] AI 매칭이 알루미늄(Al)의 OCR 오인식과 비교기업(로보티즈) 설명뿐. 열처리 장비와 AI 무관. | 근거: ""망간(Mn)과 코발트(Co)는 안전성, 알루미늄(AI)은 출력 특성을 향상""",2차전지용 열처리 장비
씨유테크,2021-10-08,코스닥,IT/소프트웨어,비AI,,PER,10.52,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"휴대폰, 전장 등 실장부품"
케이카,2021-10-13,유가증권,자동차/모빌리티,비AI,,PSR,1.59,[에이전트 판정(투설 원문 스니펫)|high] AI 언급은 해외 경쟁사(Vroom)의 인수 사례 설명뿐. 중고차 매매업은 비AI. | 근거: 온라인 자동차 유통서비스 및 AI 기반 데이터 분석기업인 CarStory를 인수하였습니다,오프라인 및 온라인 중고차 매매업
지아이텍,2021-10-21,코스닥,기계/장비,비AI,,PER,32.2,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"SLOT DIE, SLIT NOZZLE, REPAIR, 기타"
차백신연구소,2021-10-22,코스닥,바이오/헬스케어,비AI,,PER,26.68,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,백신 및 면역증강제 등
아이패밀리에스씨,2021-10-28,코스닥,화학/소재,비AI,,PER,32.54,"[에이전트 판정(투설 원문 스니펫)|high] 색조화장품이 주력 매출원. AI는 부가 진단모듈 고도화·R&D 과제 수준. | 근거: ""`컬러카드 진단모듈`의 AI 기술을 고도화하기 위한 개발작업""","색조화장품 브랜드 `롬앤(Rom&nd)', IT기반 웨딩서비스 브랜드 `아이웨딩`"
리파인,2021-10-29,코스닥,기타,비AI,,PER,28.7,"[에이전트 판정(투설 원문 스니펫)|low] AI 언급 대부분이 공모자금 활용 향후 고도화 로드맵(계획). 권리조사 서비스 자체는 AI 없이 성립하나 AI-OCR 전환이 진행 중이라 경계선. | 근거: ""공모자금을 활용하여 AI기반의 차세대 권리조사 및 업무처리 시스템 고도화를 위한 연구개발을 추진하고자"" / ""2단계 (2023년~2024년) v2.0 : AI기반 텍스트 추출 솔루션 업그레이드""",권리조사
지앤비에스엔지니어링,2021-10-29,코스닥,기계/장비,비AI,,PER,20.24,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 전방산업(반도체) 수요 전망에 그침. 스크러버 장비는 비AI. | 근거: ""데이터 센터, 자율주행차, 인공지능 등 비메모리 반도체 수요 증가"" / ""전방산업인 반도체...인공지능 및 빅데이터 산업 성장...에 힘입어""","스크러버, 트랩, 백연제거장치 등"
엔켐,2021-11-01,코스닥,화학/소재,비AI,,EV/EBITDA,49.21,"[에이전트 판정(투설 원문 스니펫)|high] 전해액 소재기업. AI 언급은 2차전지 시장 전망 서술뿐 | 근거: ""사물인터넷(IoT), 인공지능(AI) 등 미래기술과 융합함으로써 산업 변혁을 주도할 기술로 주목""",2차전지 전해액
